timestamp,end_timestamp,label,start_price,end_price
1578505500000.0,1578511800000.0,-1,8049.86,7923.57
1578511800000.0,1578584700000.0,-1,7923.57,7827.0
1579431300000.0,1579469400000.0,-1,8693.73,8599.55
1579431900000.0,1579469400000.0,-1,8683.88,8599.55
1579627500000.0,1579637400000.0,1,8559.75,8708.99
1579748700000.0,1579770000000.0,-1,8547.97,8464.53
1579764600000.0,1579773300000.0,-1,8515.27,8450.67
1579770000000.0,1579786200000.0,-1,8464.53,8368.3
1579773300000.0,1579786200000.0,-1,8450.67,8368.3
1580610900000.0,1580619600000.0,1,9234.3,9379.98
1580816400000.0,1580872500000.0,1,9137.06,9280.01
1581126900000.0,1581150000000.0,1,9710.64,9842.61
1581312900000.0,1581315300000.0,1,9849.94,9982.37
1581325200000.0,1581384900000.0,-1,9843.4,9751.0
1581584700000.0,1581599100000.0,1,10186.49,10453.23
1581590100000.0,1581599100000.0,1,10150.83,10453.23
1581781800000.0,1581782100000.0,1,9907.62,10061.14
1581782700000.0,1581785100000.0,-1,9986.86,9894.97
1581784200000.0,1581867000000.0,-1,9931.6,9787.08
1581942000000.0,1581986100000.0,1,9561.33,9714.77
1581946800000.0,1581954000000.0,1,9504.84,9662.95
1582148400000.0,1582150200000.0,1,9455.55,9659.31
1582149000000.0,1582422600000.0,1,9566.66,9906.73
1582563600000.0,1582642200000.0,-1,9520.0,9404.68
1582680600000.0,1582725900000.0,-1,9136.81,9029.57
1582730100000.0,1582734300000.0,-1,8925.0,8675.56
1582733400000.0,1582734300000.0,-1,8860.56,8675.56
1582734300000.0,1582744500000.0,1,8675.56,8826.67
1582884300000.0,1582892100000.0,-1,8600.0,8527.23
1582887600000.0,1582899900000.0,1,8557.29,8706.3
1582892100000.0,1582899900000.0,1,8527.23,8706.3
1583073600000.0,1583108700000.0,1,8486.74,8640.0
1583083500000.0,1583108700000.0,1,8444.76,8640.0
1583599500000.0,1583603700000.0,-1,8944.0,8883.6
1583600700000.0,1583616900000.0,-1,8928.46,8800.0
1583603700000.0,1583616900000.0,-1,8883.6,8800.0
1583606400000.0,1583616900000.0,-1,8893.97,8800.0
1583616900000.0,1583632800000.0,-1,8800.0,8728.5
1583627100000.0,1583667000000.0,-1,8768.24,8670.99
1583632800000.0,1583667000000.0,-1,8728.5,8670.99
1583680500000.0,1583682600000.0,-1,8361.0,8243.98
1583682600000.0,1583709000000.0,-1,8243.98,8000.0
1583943600000.0,1583954100000.0,1,7678.64,7827.46
1583991300000.0,1583995200000.0,-1,7525.87,7402.05
1583995200000.0,1584003900000.0,-1,7402.05,7254.88
1584008400000.0,1584009300000.0,-1,7087.4,6825.9
