timestamp,end_timestamp,label,start_price,end_price
1578018300000.0,1578025800000.0,1,7012.85,7200.0
1578025800000.0,1578047100000.0,1,7200.0,7341.39
1578027000000.0,1578047100000.0,1,7197.0,7341.39
1578031500000.0,1578067500000.0,1,7233.26,7364.05
1578040800000.0,1578185100000.0,1,7308.0,7449.55
1578042900000.0,1578188100000.0,1,7323.69,7457.0
1578047100000.0,1578054300000.0,-1,7341.39,7270.0
1578054300000.0,1578185100000.0,1,7270.0,7449.55
1578060600000.0,1578185100000.0,1,7294.0,7449.55
1578067500000.0,1578141300000.0,-1,7364.05,7296.91
1578070200000.0,1578267300000.0,1,7344.61,7479.58
1578077700000.0,1578185100000.0,1,7313.18,7449.55
1578085800000.0,1578185100000.0,1,7321.24,7449.55
1578094500000.0,1578185100000.0,1,7322.8,7449.55
1578112200000.0,1578267300000.0,1,7350.0,7479.58
1578127200000.0,1578185100000.0,1,7318.79,7449.55
1578141300000.0,1578185100000.0,1,7296.91,7449.55
1578156300000.0,1578185100000.0,1,7296.74,7449.55
1578163800000.0,1578185100000.0,1,7337.92,7449.55
1578169500000.0,1578267300000.0,1,7370.19,7479.58
1578185100000.0,1578244200000.0,-1,7449.55,7390.47
1578188100000.0,1578244200000.0,-1,7457.0,7390.47
1578195600000.0,1578244200000.0,-1,7453.66,7390.47
1578208500000.0,1578260100000.0,-1,7428.0,7358.93
1578218400000.0,1578260100000.0,-1,7438.17,7358.93
1578231600000.0,1578244200000.0,-1,7453.04,7390.47
1578244200000.0,1578276300000.0,1,7390.47,7516.71
1578260100000.0,1578267300000.0,1,7358.93,7479.58
1578267300000.0,1578344400000.0,1,7479.58,7659.35
1578276300000.0,1578344400000.0,1,7516.71,7659.35
1578279300000.0,1578344400000.0,1,7524.59,7659.35
1578282000000.0,1578344400000.0,1,7515.24,7659.35
1578291900000.0,1578344400000.0,1,7541.44,7659.35
1578305700000.0,1578344400000.0,1,7551.76,7659.35
1578315300000.0,1578344400000.0,1,7520.23,7659.35
1578319500000.0,1578344400000.0,1,7538.5,7659.35
1578327900000.0,1578344400000.0,1,7547.79,7659.35
1578344400000.0,1578353400000.0,1,7659.35,7833.16
1578349500000.0,1578355800000.0,1,7737.99,7970.0
1578351000000.0,1578355800000.0,1,7737.38,7970.0
1578353400000.0,1578355800000.0,1,7833.16,7970.0
1578355800000.0,1578357300000.0,-1,7970.0,7890.22
1578357300000.0,1578408600000.0,-1,7890.22,7767.26
1578358800000.0,1578398400000.0,-1,7921.11,7837.93
1578363600000.0,1578408600000.0,-1,7876.7,7767.26
1578371700000.0,1578408600000.0,-1,7892.28,7767.26
1578380700000.0,1578408600000.0,-1,7878.0,7767.26
1578391800000.0,1578398400000.0,-1,7899.86,7837.93
1578398400000.0,1578408600000.0,-1,7837.93,7767.26
1578402300000.0,1578408600000.0,-1,7870.59,7767.26
1578408600000.0,1578412500000.0,1,7767.26,7888.5
1578412500000.0,1578421200000.0,1,7888.5,8082.69
1578414600000.0,1578421200000.0,1,7906.47,8082.69
1578417300000.0,1578421200000.0,1,7957.1,8082.69
1578421200000.0,1578441000000.0,1,8082.69,8239.65
1578422400000.0,1578441000000.0,1,8080.0,8239.65
1578424800000.0,1578431700000.0,-1,8108.52,8042.67
1578429300000.0,1578431700000.0,-1,8149.51,8042.67
1578431700000.0,1578437100000.0,1,8042.67,8177.47
1578434100000.0,1578437100000.0,1,8051.03,8177.47
1578437100000.0,1578442500000.0,1,8177.47,8337.94
1578441000000.0,1578445500000.0,1,8239.65,8383.38
1578442500000.0,1578450900000.0,-1,8337.94,8264.32
1578444300000.0,1578450900000.0,-1,8354.37,8264.32
1578445500000.0,1578450900000.0,-1,8383.38,8264.32
1578447900000.0,1578450900000.0,-1,8366.11,8264.32
1578450900000.0,1578501300000.0,-1,8264.32,8072.16
1578453900000.0,1578499500000.0,-1,8327.64,8232.25
1578459000000.0,1578490500000.0,-1,8338.74,8270.78
1578465900000.0,1578499500000.0,-1,8317.2,8232.25
1578472500000.0,1578490500000.0,-1,8339.0,8270.78
1578479400000.0,1578499500000.0,-1,8304.67,8232.25
1578488100000.0,1578490500000.0,-1,8385.23,8270.78
1578490500000.0,1578501300000.0,-1,8270.78,8072.16
1578492900000.0,1578501300000.0,-1,8291.6,8072.16
1578496200000.0,1578501300000.0,-1,8289.86,8072.16
1578499500000.0,1578501300000.0,-1,8232.25,8072.16
1578501300000.0,1578511800000.0,-1,8072.16,7923.57
1578501900000.0,1578511800000.0,-1,8094.41,7923.57
1578503400000.0,1578511800000.0,-1,8090.85,7923.57
1578505500000.0,1578511800000.0,-1,8049.86,7923.57
1578511800000.0,1578584700000.0,-1,7923.57,7827.0
1578514200000.0,1578541200000.0,-1,7999.32,7922.29
1578516600000.0,1578541200000.0,-1,8012.05,7922.29
1578521100000.0,1578527700000.0,-1,8046.65,7961.02
1578527700000.0,1578558000000.0,-1,7961.02,7886.0
