timestamp,stablecoin_exchange_supply_ratio
1577750400000.0,20.0
1577763600000.0,19.999
1577787300000.0,20.0045
1577803800000.0,19.9988
1577806200000.0,19.9952
1577814900000.0,19.9968
1577830800000.0,19.9998
1577849100000.0,19.9994
1577877900000.0,19.9997
1577894400000.0,19.9978
1577919300000.0,19.9936
1577936700000.0,19.9917
1577949900000.0,19.995
1577960400000.0,19.9926
1577973600000.0,19.9881
1577983800000.0,19.9817
1577985300000.0,19.9817
1577993400000.0,19.9801
1578011700000.0,19.9785
1578018300000.0,19.9845
1578025800000.0,19.9976
1578027000000.0,19.9974
1578031500000.0,19.9999
1578040800000.0,20.0051
1578042900000.0,20.0062
1578047100000.0,20.0074
1578054300000.0,20.0025
1578060600000.0,20.0041
1578067500000.0,20.0089
1578070200000.0,20.0076
1578077700000.0,20.0054
1578085800000.0,20.006
1578094500000.0,20.0061
1578112200000.0,20.008
1578127200000.0,20.0058
1578141300000.0,20.0043
1578156300000.0,20.0043
1578163800000.0,20.0071
1578169500000.0,20.0093
1578185100000.0,20.0147
1578188100000.0,20.0152
1578195600000.0,20.015
1578208500000.0,20.0132
1578218400000.0,20.0139
1578231600000.0,20.0149
1578244200000.0,20.0107
1578260100000.0,20.0086
1578267300000.0,20.0167
1578276300000.0,20.0192
1578279300000.0,20.0197
1578282000000.0,20.0191
1578291900000.0,20.0208
1578305700000.0,20.0215
1578315300000.0,20.0194
1578319500000.0,20.0206
1578327900000.0,20.0212
1578344400000.0,20.0286
1578349500000.0,20.0337
1578351000000.0,20.0336
1578353400000.0,20.0398
1578355800000.0,20.0484
1578357300000.0,20.0434
1578358800000.0,20.0454
1578363600000.0,20.0426
1578371700000.0,20.0435
1578380700000.0,20.0426
1578391800000.0,20.044
1578398400000.0,20.0401
1578402300000.0,20.0422
1578408600000.0,20.0356
1578412500000.0,20.0433
1578414600000.0,20.0444
1578417300000.0,20.0476
1578421200000.0,20.0555
1578422400000.0,20.0553
1578424800000.0,20.0571
1578429300000.0,20.0596
1578431700000.0,20.053
1578434100000.0,20.0535
1578437100000.0,20.0613
1578441000000.0,20.0651
1578442500000.0,20.071
1578444300000.0,20.072
1578445500000.0,20.0737
1578447900000.0,20.0727
1578450900000.0,20.0666
1578453900000.0,20.0704
1578459000000.0,20.0711
1578465900000.0,20.0698
1578472500000.0,20.0711
1578479400000.0,20.069
1578488100000.0,20.0738
