timestamp,bb_upper
1577750400000.0,0.0
1577763600000.0,0.0
1577787300000.0,0.0
1577803800000.0,0.0
1577806200000.0,0.0
1577814900000.0,0.0
1577830800000.0,0.0
1577849100000.0,0.0
1577877900000.0,0.0
1577894400000.0,0.0
1577919300000.0,0.0
1577936700000.0,0.0
1577949900000.0,0.0
1577960400000.0,0.0
1577973600000.0,0.0
1577983800000.0,0.0
1577985300000.0,0.0
1577993400000.0,0.0
1578011700000.0,0.0
1578018300000.0,7355.4117
1578025800000.0,7350.9664
1578027000000.0,7348.0984
1578031500000.0,7335.6662
1578040800000.0,7352.1136
1578042900000.0,7375.9222
1578047100000.0,7399.6365
1578054300000.0,7404.8403
1578060600000.0,7414.3874
1578067500000.0,7435.9409
1578070200000.0,7454.8334
1578077700000.0,7470.4303
1578085800000.0,7486.2865
1578094500000.0,7500.2395
1578112200000.0,7517.3987
1578127200000.0,7526.772
1578141300000.0,7522.4483
1578156300000.0,7512.3853
1578163800000.0,7493.5053
1578169500000.0,7453.4324
1578185100000.0,7428.7142
1578188100000.0,7445.8711
1578195600000.0,7455.7025
1578208500000.0,7460.9563
1578218400000.0,7472.6263
1578231600000.0,7485.9405
1578244200000.0,7488.6954
1578260100000.0,7485.2227
1578267300000.0,7499.1373
1578276300000.0,7521.5189
1578279300000.0,7542.5307
1578282000000.0,7556.945
1578291900000.0,7574.4418
1578305700000.0,7590.8224
1578315300000.0,7600.2957
1578319500000.0,7607.9484
1578327900000.0,7610.449
1578344400000.0,7633.7674
1578349500000.0,7679.2271
1578351000000.0,7716.8839
1578353400000.0,7778.3512
1578355800000.0,7868.9984
1578357300000.0,7919.5785
1578358800000.0,7968.1469
1578363600000.0,8000.1854
1578371700000.0,8030.3767
1578380700000.0,8047.0835
1578391800000.0,8055.7394
1578398400000.0,8062.445
1578402300000.0,8072.5138
1578408600000.0,8069.4718
1578412500000.0,8073.8745
1578414600000.0,8078.4613
1578417300000.0,8086.207
1578421200000.0,8106.1133
1578422400000.0,8116.3151
1578424800000.0,8121.2402
1578429300000.0,8146.8247
1578431700000.0,8153.1875
1578434100000.0,8155.7527
1578437100000.0,8190.0156
1578441000000.0,8235.1395
1578442500000.0,8300.1902
1578444300000.0,8358.4938
1578445500000.0,8413.2508
1578447900000.0,8455.9908
1578450900000.0,8473.738
1578453900000.0,8498.5664
1578459000000.0,8514.3212
1578465900000.0,8523.5545
1578472500000.0,8511.0209
1578479400000.0,8503.8543
1578488100000.0,8502.0996
1578490500000.0,8485.6896
1578492900000.0,8484.0626
1578496200000.0,8479.1205
1578499500000.0,8472.6904
1578501300000.0,8481.5111
1578501900000.0,8473.4598
1578503400000.0,8466.8693
1578505500000.0,8481.2331
1578511800000.0,8515.0775
1578514200000.0,8517.6189
1578516600000.0,8511.2539
1578521100000.0,8493.0177
1578527700000.0,8480.5744
1578531600000.0,8476.8207
1578541200000.0,8464.9503
1578550500000.0,8443.7045
1578558000000.0,8426.0571
1578563700000.0,8398.6396
1578569400000.0,8368.4244
1578576000000.0,8311.1953
1578584700000.0,8281.638
1578588900000.0,8240.0075
1578593700000.0,8179.6398
1578600000000.0,8130.4749
1578603300000.0,8117.9259
1578605700000.0,8095.9703
1578613200000.0,8070.6243
1578624900000.0,8058.2837
1578636000000.0,8061.9043
1578643200000.0,8054.3586
1578648900000.0,8036.4689
1578653400000.0,8003.0393
1578656400000.0,7991.3746
1578660600000.0,7977.6843
1578664200000.0,7985.8107
1578667200000.0,8010.5188
1578669600000.0,8061.5979
1578672300000.0,8079.9292
1578673800000.0,8083.3115
1578676500000.0,8103.1256
1578679800000.0,8129.6202
1578682200000.0,8144.179
1578684600000.0,8163.9611
1578689700000.0,8179.9003
1578693600000.0,8213.3482
1578700200000.0,8244.9575
1578704400000.0,8273.2351
1578708900000.0,8280.4825
1578716700000.0,8277.1757
1578724200000.0,8258.3642
1578730200000.0,8239.5664
1578738600000.0,8222.1944
1578745500000.0,8211.711
1578753900000.0,8204.3519
1578760500000.0,8204.7734
1578765900000.0,8223.2897
1578778800000.0,8222.4556
1578780000000.0,8220.3077
1578784500000.0,8210.3331
1578789300000.0,8209.4499
1578800100000.0,8209.6998
1578814500000.0,8208.4777
1578825300000.0,8213.9534
1578838200000.0,8212.8077
1578848700000.0,8208.6085
1578850500000.0,8203.6354
1578860700000.0,8203.1553
1578873600000.0,8200.9366
1578886500000.0,8201.0898
1578901200000.0,8200.0715
1578916800000.0,8200.1015
1578930900000.0,8201.8526
1578948300000.0,8205.0465
1578961800000.0,8240.8307
1578963300000.0,8289.5935
1578964800000.0,8346.3606
1578966600000.0,8390.9396
1578971100000.0,8464.2337
1578974700000.0,8517.3127
1578978600000.0,8564.3947
1578985800000.0,8607.442
1578995100000.0,8642.9197
1579002000000.0,8669.8419
1579005600000.0,8696.1024
1579008900000.0,8741.8438
1579011600000.0,8783.8453
1579012800000.0,8823.5036
1579015500000.0,8830.7775
1579017900000.0,8835.7963
1579020300000.0,8846.4457
1579021800000.0,8860.3674
1579024200000.0,8874.3021
1579026600000.0,8861.5765
1579029000000.0,8852.3164
1579035900000.0,8864.5687
1579044300000.0,8870.4557
1579046700000.0,8885.8445
1579048800000.0,8899.3809
1579052100000.0,8904.1113
1579058700000.0,8899.033
1579062300000.0,8894.6669
1579065300000.0,8888.5854
1579071600000.0,8875.1129
1579079100000.0,8866.8097
1579083600000.0,8872.5894
1579088400000.0,8877.481
1579093200000.0,8904.0914
1579096800000.0,8899.3816
1579098000000.0,8903.1611
1579100700000.0,8905.8753
1579103400000.0,8906.2854
1579105200000.0,8903.4816
1579110300000.0,8904.3464
1579116300000.0,8911.0971
1579122300000.0,8916.9377
1579129800000.0,8917.2344
1579134300000.0,8910.4446
1579137900000.0,8909.2353
1579141800000.0,8912.4891
1579147500000.0,8908.6269
1579155600000.0,8901.15
1579163100000.0,8906.1156
1579169400000.0,8903.8626
1579175100000.0,8903.9275
1579178700000.0,8902.3961
1579182900000.0,8900.5233
1579189200000.0,8877.5027
1579194300000.0,8868.1766
1579202100000.0,8853.1731
1579209900000.0,8845.7496
1579221300000.0,8841.5539
1579229700000.0,8844.7237
1579233900000.0,8864.3337
1579240200000.0,8898.1268
1579242000000.0,8907.0727
1579244700000.0,8951.5353
