timestamp,stablecoin_exchange_netflow
1577750400000.0,-35132702.78
1577763600000.0,16469229.54
1577787300000.0,-1519099.84
1577803800000.0,-9135856.74
1577806200000.0,23229792.64
1577814900000.0,-14408435.05
1577830800000.0,6890796.52
1577849100000.0,17262161.76
1577877900000.0,44797795.44
1577894400000.0,35785189.37
1577919300000.0,24971678.15
1577936700000.0,-29999957.75
1577949900000.0,-11421650.53
1577960400000.0,-7347534.1
1577973600000.0,-18747793.19
1577983800000.0,-16166508.82
1577985300000.0,43710202.22
1577993400000.0,10227684.38
1578011700000.0,-33619497.29
1578018300000.0,21378656.73
1578025800000.0,47315329.95
1578027000000.0,-14573110.18
1578031500000.0,36826433.14
1578040800000.0,-2586556.07
1578042900000.0,-932956.96
1578047100000.0,-18861258.97
1578054300000.0,48718848.23
1578060600000.0,8344755.48
1578067500000.0,3438733.33
1578070200000.0,-35306893.62
1578077700000.0,-35634798.96
1578085800000.0,37186872.19
1578094500000.0,-6392353.44
1578112200000.0,-42048258.11
1578127200000.0,-37330114.79
1578141300000.0,49684075.14
1578156300000.0,-4231520.26
1578163800000.0,-18298539.42
1578169500000.0,29666921.83
1578185100000.0,-44544702.79
1578188100000.0,-38159800.95
1578195600000.0,30510159.68
1578208500000.0,21317556.56
1578218400000.0,-37961891.4
1578231600000.0,35403052.57
1578244200000.0,-40756132.89
1578260100000.0,49412663.15
1578267300000.0,25074717.14
1578276300000.0,-14055740.36
1578279300000.0,-41201502.84
1578282000000.0,-361109.8
1578291900000.0,-33844754.11
1578305700000.0,48923289.81
1578315300000.0,-17616094.11
1578319500000.0,7839644.42
1578327900000.0,45939643.05
1578344400000.0,10662114.23
1578349500000.0,-29686856.17
1578351000000.0,43255670.31
1578353400000.0,-32424833.83
1578355800000.0,-469690.23
1578357300000.0,42443201.92
1578358800000.0,-36429969.5
1578363600000.0,36442800.89
1578371700000.0,-41648730.41
1578380700000.0,-20306292.87
1578391800000.0,31004258.77
1578398400000.0,-30972087.16
1578402300000.0,-19418137.52
1578408600000.0,-1158500.35
1578412500000.0,-48382150.85
1578414600000.0,40135950.7
1578417300000.0,36690726.28
1578421200000.0,18324122.87
1578422400000.0,-14959376.24
1578424800000.0,7509339.55
1578429300000.0,-20248124.34
1578431700000.0,41628152.84
1578434100000.0,-27534182.3
1578437100000.0,23682584.98
1578441000000.0,43007742.16
1578442500000.0,2317225.26
1578444300000.0,-47593123.27
1578445500000.0,-40767821.12
1578447900000.0,30879210.96
1578450900000.0,-42271389.0
1578453900000.0,-3112059.02
1578459000000.0,-20975668.14
1578465900000.0,43979828.52
1578472500000.0,-35813498.41
1578479400000.0,-24779813.65
1578488100000.0,-21149193.31
1578490500000.0,-44361152.54
1578492900000.0,-5986558.19
1578496200000.0,-1598501.59
1578499500000.0,19251158.85
1578501300000.0,36050344.9
1578501900000.0,-29748822.2
1578503400000.0,-18972191.15
1578505500000.0,34178155.34
1578511800000.0,-34095720.55
1578514200000.0,-31678978.28
1578516600000.0,-31878825.43
1578521100000.0,792773.54
1578527700000.0,11277263.5
1578531600000.0,-4853857.49
1578541200000.0,-18939899.62
1578550500000.0,7250152.84
1578558000000.0,34317615.09
1578563700000.0,19666365.07
1578569400000.0,14481570.57
1578576000000.0,-14866272.2
1578584700000.0,47367318.48
1578588900000.0,14257570.75
1578593700000.0,-34382583.52
1578600000000.0,-25363948.36
1578603300000.0,-6008395.94
1578605700000.0,-15387718.65
1578613200000.0,11124247.16
1578624900000.0,-10203276.48
1578636000000.0,-18638813.99
1578643200000.0,12905689.22
1578648900000.0,25281308.24
1578653400000.0,10049711.02
1578656400000.0,-17813569.25
1578660600000.0,39410460.92
1578664200000.0,23973145.5
1578667200000.0,8329890.84
1578669600000.0,-25245072.16
1578672300000.0,-4916105.1
1578673800000.0,41219451.95
1578676500000.0,9163006.21
1578679800000.0,19850915.28
1578682200000.0,-1322083.33
1578684600000.0,22122706.92
1578689700000.0,-33014830.12
1578693600000.0,-40008599.4
1578700200000.0,-1799149.43
1578704400000.0,1834883.1
1578708900000.0,-34145036.43
1578716700000.0,30494405.12
1578724200000.0,12108642.95
1578730200000.0,3599361.19
1578738600000.0,5088789.65
1578745500000.0,-30386123.23
1578753900000.0,8127815.95
1578760500000.0,43037598.75
1578765900000.0,-25450864.3
1578778800000.0,40847370.32
1578780000000.0,-41397196.73
1578784500000.0,-140208.18
1578789300000.0,18930630.53
1578800100000.0,-36921518.89
1578814500000.0,-40185854.41
1578825300000.0,-49286304.68
1578838200000.0,30368730.76
1578848700000.0,-4782982.1
1578850500000.0,17041411.63
1578860700000.0,256345.94
1578873600000.0,11684970.4
1578886500000.0,-38079038.25
1578901200000.0,17269404.32
1578916800000.0,-30287825.78
1578930900000.0,44535021.5
1578948300000.0,44932728.16
1578961800000.0,46043213.38
1578963300000.0,14704051.23
1578964800000.0,7138659.05
1578966600000.0,-11492802.59
1578971100000.0,-6040627.78
1578974700000.0,44740091.95
1578978600000.0,28163299.2
1578985800000.0,-43236558.17
