timestamp,rolling_max_240
1577750400000.0,0.0
1577763600000.0,0.0
1577787300000.0,0.0
1577803800000.0,0.0
1577806200000.0,0.0
1577814900000.0,0.0
1577830800000.0,0.0
1577849100000.0,0.0
1577877900000.0,0.0
1577894400000.0,0.0
1577919300000.0,0.0
1577936700000.0,0.0
1577949900000.0,0.0
1577960400000.0,0.0
1577973600000.0,0.0
1577983800000.0,0.0
1577985300000.0,0.0
1577993400000.0,0.0
1578011700000.0,0.0
1578018300000.0,0.0
1578025800000.0,0.0
1578027000000.0,0.0
1578031500000.0,0.0
1578040800000.0,0.0
1578042900000.0,0.0
1578047100000.0,0.0
1578054300000.0,0.0
1578060600000.0,0.0
1578067500000.0,0.0
1578070200000.0,0.0
1578077700000.0,0.0
1578085800000.0,0.0
1578094500000.0,0.0
1578112200000.0,0.0
1578127200000.0,0.0
1578141300000.0,0.0
1578156300000.0,0.0
1578163800000.0,0.0
1578169500000.0,0.0
1578185100000.0,0.0
1578188100000.0,0.0
1578195600000.0,0.0
1578208500000.0,0.0
1578218400000.0,0.0
1578231600000.0,0.0
1578244200000.0,0.0
1578260100000.0,0.0
1578267300000.0,0.0
1578276300000.0,0.0
1578279300000.0,0.0
1578282000000.0,0.0
1578291900000.0,0.0
1578305700000.0,0.0
1578315300000.0,0.0
1578319500000.0,0.0
1578327900000.0,0.0
1578344400000.0,0.0
1578349500000.0,0.0
1578351000000.0,0.0
1578353400000.0,0.0
1578355800000.0,0.0
1578357300000.0,0.0
1578358800000.0,0.0
1578363600000.0,0.0
1578371700000.0,0.0
1578380700000.0,0.0
1578391800000.0,0.0
1578398400000.0,0.0
1578402300000.0,0.0
1578408600000.0,0.0
1578412500000.0,0.0
1578414600000.0,0.0
1578417300000.0,0.0
1578421200000.0,0.0
1578422400000.0,0.0
1578424800000.0,0.0
1578429300000.0,0.0
1578431700000.0,0.0
1578434100000.0,0.0
1578437100000.0,0.0
1578441000000.0,0.0
1578442500000.0,0.0
1578444300000.0,0.0
1578445500000.0,0.0
1578447900000.0,0.0
1578450900000.0,0.0
1578453900000.0,0.0
1578459000000.0,0.0
1578465900000.0,0.0
1578472500000.0,0.0
1578479400000.0,0.0
1578488100000.0,0.0
1578490500000.0,0.0
1578492900000.0,0.0
1578496200000.0,0.0
1578499500000.0,0.0
1578501300000.0,0.0
1578501900000.0,0.0
1578503400000.0,0.0
1578505500000.0,0.0
1578511800000.0,0.0
1578514200000.0,0.0
1578516600000.0,0.0
1578521100000.0,0.0
1578527700000.0,0.0
1578531600000.0,0.0
1578541200000.0,0.0
1578550500000.0,0.0
1578558000000.0,0.0
1578563700000.0,0.0
1578569400000.0,0.0
1578576000000.0,0.0
1578584700000.0,0.0
1578588900000.0,0.0
1578593700000.0,0.0
1578600000000.0,0.0
1578603300000.0,0.0
1578605700000.0,0.0
1578613200000.0,0.0
1578624900000.0,0.0
1578636000000.0,0.0
1578643200000.0,0.0
1578648900000.0,0.0
1578653400000.0,0.0
1578656400000.0,0.0
1578660600000.0,0.0
1578664200000.0,0.0
1578667200000.0,0.0
1578669600000.0,0.0
1578672300000.0,0.0
1578673800000.0,0.0
1578676500000.0,0.0
1578679800000.0,0.0
1578682200000.0,0.0
1578684600000.0,0.0
1578689700000.0,0.0
1578693600000.0,0.0
1578700200000.0,0.0
1578704400000.0,0.0
1578708900000.0,0.0
1578716700000.0,0.0
1578724200000.0,0.0
1578730200000.0,0.0
1578738600000.0,0.0
1578745500000.0,0.0
1578753900000.0,0.0
1578760500000.0,0.0
1578765900000.0,0.0
1578778800000.0,0.0
1578780000000.0,0.0
1578784500000.0,0.0
1578789300000.0,0.0
1578800100000.0,0.0
1578814500000.0,0.0
1578825300000.0,0.0
1578838200000.0,0.0
1578848700000.0,0.0
1578850500000.0,0.0
1578860700000.0,0.0
1578873600000.0,0.0
1578886500000.0,0.0
1578901200000.0,0.0
1578916800000.0,0.0
1578930900000.0,0.0
1578948300000.0,0.0
1578961800000.0,0.0
1578963300000.0,0.0
1578964800000.0,0.0
1578966600000.0,0.0
1578971100000.0,0.0
1578974700000.0,0.0
1578978600000.0,0.0
1578985800000.0,0.0
1578995100000.0,0.0
1579002000000.0,0.0
1579005600000.0,0.0
1579008900000.0,0.0
1579011600000.0,0.0
1579012800000.0,0.0
1579015500000.0,0.0
1579017900000.0,0.0
1579020300000.0,0.0
1579021800000.0,0.0
1579024200000.0,0.0
1579026600000.0,0.0
1579029000000.0,0.0
1579035900000.0,0.0
1579044300000.0,0.0
1579046700000.0,0.0
1579048800000.0,0.0
1579052100000.0,0.0
1579058700000.0,0.0
1579062300000.0,0.0
1579065300000.0,0.0
1579071600000.0,0.0
1579079100000.0,0.0
1579083600000.0,0.0
1579088400000.0,0.0
1579093200000.0,0.0
1579096800000.0,0.0
1579098000000.0,0.0
1579100700000.0,0.0
1579103400000.0,0.0
1579105200000.0,0.0
1579110300000.0,0.0
1579116300000.0,0.0
1579122300000.0,0.0
1579129800000.0,0.0
1579134300000.0,0.0
1579137900000.0,0.0
1579141800000.0,0.0
1579147500000.0,0.0
1579155600000.0,0.0
1579163100000.0,0.0
1579169400000.0,0.0
1579175100000.0,0.0
1579178700000.0,0.0
1579182900000.0,0.0
1579189200000.0,0.0
1579194300000.0,0.0
1579202100000.0,0.0
1579209900000.0,0.0
1579221300000.0,0.0
1579229700000.0,0.0
1579233900000.0,0.0
1579240200000.0,0.0
1579242000000.0,0.0
1579244700000.0,0.0
1579248900000.0,0.0
1579253400000.0,0.0
1579256700000.0,0.0
1579261800000.0,0.0
1579264200000.0,0.0
1579270200000.0,0.0
1579275300000.0,0.0
1579280100000.0,0.0
1579286400000.0,0.0
1579290900000.0,0.0
1579298700000.0,0.0
1579307100000.0,8984.99
1579313700000.0,8984.99
1579323000000.0,8984.99
1579331100000.0,8984.99
1579340100000.0,8984.99
1579350600000.0,8984.99
1579358700000.0,8984.99
1579364400000.0,8984.99
1579371000000.0,8984.99
1579385400000.0,8984.99
1579393500000.0,9057.18
1579395900000.0,9146.55
1579397700000.0,9162.21
1579400700000.0,9162.21
1579407000000.0,9162.21
1579416600000.0,9162.21
1579422900000.0,9162.21
1579431300000.0,9162.21
1579431900000.0,9162.21
1579432800000.0,9162.21
1579434900000.0,9162.21
