timestamp,btc_open_interest
1577750400000.0,301070122.16
1577763600000.0,296473459.55
1577787300000.0,303815160.13
1577803800000.0,300082365.64
1577806200000.0,303145050.2
1577814900000.0,301969244.85
1577830800000.0,296422154.58
1577849100000.0,311840635.39
1577877900000.0,301928271.32
1577894400000.0,303370639.35
1577919300000.0,305496835.57
1577936700000.0,304308322.12
1577949900000.0,305126599.75
1577960400000.0,319353556.55
1577973600000.0,307324657.73
1577983800000.0,308316646.02
1577985300000.0,307704668.12
1577993400000.0,309081397.64
1578011700000.0,306796632.92
1578018300000.0,300732905.59
1578025800000.0,310913279.5
1578027000000.0,303286501.02
1578031500000.0,304300392.72
1578040800000.0,313372330.79
1578042900000.0,312815328.5
1578047100000.0,309111214.25
1578054300000.0,310383528.7
1578060600000.0,307019263.33
1578067500000.0,308108010.71
1578070200000.0,307231846.77
1578077700000.0,316570690.51
1578085800000.0,320962757.93
1578094500000.0,309830304.96
1578112200000.0,323559613.51
1578127200000.0,306601542.78
1578141300000.0,320475901.27
1578156300000.0,308324596.04
1578163800000.0,320402980.14
1578169500000.0,317545277.11
1578185100000.0,312918489.79
1578188100000.0,320080638.06
1578195600000.0,331584372.8
1578208500000.0,327475213.34
1578218400000.0,314392048.0
1578231600000.0,316870555.33
1578244200000.0,326201198.54
1578260100000.0,315717063.21
1578267300000.0,318466672.55
1578276300000.0,323229015.5
1578279300000.0,327415074.62
1578282000000.0,316044281.64
1578291900000.0,328600289.22
1578305700000.0,321713036.59
1578315300000.0,327962135.8
1578319500000.0,323221817.59
1578327900000.0,333104330.52
1578344400000.0,323109229.48
1578349500000.0,324528547.15
1578351000000.0,332192274.32
1578353400000.0,318430736.87
1578355800000.0,336522303.09
1578357300000.0,326894267.15
1578358800000.0,323118278.48
1578363600000.0,336633336.45
1578371700000.0,335594199.7
1578380700000.0,333936488.02
1578391800000.0,334981180.23
1578398400000.0,334137996.8
1578402300000.0,338519065.66
1578408600000.0,339433616.07
1578412500000.0,340253630.3
1578414600000.0,331442351.18
1578417300000.0,332916298.87
1578421200000.0,326265204.85
1578422400000.0,336820237.2
1578424800000.0,342343933.8
1578429300000.0,343223191.18
1578431700000.0,338343268.18
1578434100000.0,335312659.83
1578437100000.0,342459048.26
1578441000000.0,337114065.52
1578442500000.0,334145253.83
1578444300000.0,340142363.76
1578445500000.0,343467311.21
1578447900000.0,345023144.18
1578450900000.0,336683212.91
1578453900000.0,350516877.26
1578459000000.0,351727684.14
1578465900000.0,349145767.93
1578472500000.0,342593414.8
