timestamp,stablecoin_exchange_outflow_total
1577750400000.0,124568369.92
1577763600000.0,45508732.38
1577787300000.0,18535910.45
1577803800000.0,47142445.18
1577806200000.0,9845164.08
1577814900000.0,64810292.73
1577830800000.0,42682502.04
1577849100000.0,5719378.9
1577877900000.0,17314214.1
1577894400000.0,-21160380.77
1577919300000.0,70863130.2
1577936700000.0,90306031.01
1577949900000.0,85482859.09
1577960400000.0,103544674.69
1577973600000.0,92957627.26
1577983800000.0,70545953.91
1577985300000.0,47438737.7
1577993400000.0,71255213.09
1578011700000.0,49514263.19
1578018300000.0,10704413.78
1578025800000.0,17094049.8
1578027000000.0,111112661.62
1578031500000.0,47731677.45
1578040800000.0,71095581.05
1578042900000.0,100688295.14
1578047100000.0,72519462.7
1578054300000.0,6271673.8
1578060600000.0,53184055.51
1578067500000.0,80371912.43
1578070200000.0,73237805.14
1578077700000.0,117282044.48
1578085800000.0,-24133124.39
1578094500000.0,23643094.01
1578112200000.0,65026175.11
1578127200000.0,88568675.52
1578141300000.0,-3826222.72
1578156300000.0,14455523.97
1578163800000.0,44971683.3
1578169500000.0,38735811.58
1578185100000.0,99359387.79
1578188100000.0,50805671.96
1578195600000.0,66327056.74
1578208500000.0,22078967.0
1578218400000.0,57048539.72
1578231600000.0,61688643.65
1578244200000.0,64721198.92
1578260100000.0,24905510.31
1578267300000.0,55203477.51
1578276300000.0,91236250.82
1578279300000.0,127763809.69
1578282000000.0,94784776.98
1578291900000.0,72184176.89
1578305700000.0,49837117.62
1578315300000.0,62349504.92
1578319500000.0,6104087.31
1578327900000.0,44008154.06
1578344400000.0,78671934.93
1578349500000.0,67404246.27
1578351000000.0,-3514934.54
1578353400000.0,114884933.33
1578355800000.0,86012574.85
1578357300000.0,20967921.61
1578358800000.0,70543504.83
1578363600000.0,-2702341.66
1578371700000.0,79563984.38
1578380700000.0,90496540.68
1578391800000.0,47627859.94
1578398400000.0,100265074.85
1578402300000.0,113991483.26
1578408600000.0,35904589.54
1578412500000.0,145642009.53
1578414600000.0,546268.43
1578417300000.0,-18419842.71
1578421200000.0,78479817.48
1578422400000.0,29456746.18
1578424800000.0,92283046.05
1578429300000.0,60197491.87
1578431700000.0,45894258.3
1578434100000.0,89797792.41
1578437100000.0,30451305.82
1578441000000.0,9551273.99
1578442500000.0,44583970.6
1578444300000.0,79265201.55
1578445500000.0,106791319.68
1578447900000.0,24486380.85
1578450900000.0,131108132.87
1578453900000.0,50588320.07
1578459000000.0,83914848.03
1578465900000.0,21751542.92
1578472500000.0,133777714.34
1578479400000.0,49291945.62
1578488100000.0,51530240.39
1578490500000.0,95935715.51
1578492900000.0,43441148.44
1578496200000.0,97443107.94
1578499500000.0,25788194.59
1578501300000.0,50512524.16
1578501900000.0,56426069.53
1578503400000.0,116969171.55
1578505500000.0,34705486.81
1578511800000.0,114483635.28
1578514200000.0,65453299.6
1578516600000.0,125601423.36
1578521100000.0,91076014.76
1578527700000.0,34400759.1
1578531600000.0,47963608.47
1578541200000.0,68188450.33
1578550500000.0,55305519.8
1578558000000.0,7752008.45
1578563700000.0,21865483.6
1578569400000.0,71257699.14
1578576000000.0,107934259.89
1578584700000.0,29884626.33
1578588900000.0,52977524.2
1578593700000.0,84458837.79
1578600000000.0,89512829.07
1578603300000.0,36971504.96
1578605700000.0,58889907.91
1578613200000.0,76533610.37
1578624900000.0,100017258.49
1578636000000.0,63657940.82
1578643200000.0,33235652.39
1578648900000.0,14435264.82
1578653400000.0,55158971.27
1578656400000.0,57801456.4
1578660600000.0,51171479.91
1578664200000.0,35728735.08
1578667200000.0,19123562.26
1578669600000.0,91850170.09
1578672300000.0,46091504.95
1578673800000.0,-13726126.41
1578676500000.0,59210799.96
1578679800000.0,-3755992.92
1578682200000.0,25156720.13
1578684600000.0,-3469821.58
1578689700000.0,72310154.55
1578693600000.0,105819781.76
1578700200000.0,48536162.66
1578704400000.0,61530641.5
1578708900000.0,75756513.95
1578716700000.0,-1643647.38
1578724200000.0,65403232.86
1578730200000.0,9601438.34
1578738600000.0,9802648.08
1578745500000.0,56012161.29
1578753900000.0,70750780.6
1578760500000.0,38940669.08
1578765900000.0,50317719.41
1578778800000.0,-22733416.53
1578780000000.0,88277122.18
1578784500000.0,72567918.32
1578789300000.0,75510934.17
1578800100000.0,94297792.87
1578814500000.0,124902360.98
1578825300000.0,104167245.35
1578838200000.0,51592186.14
1578848700000.0,26332682.37
1578850500000.0,37210224.01
1578860700000.0,53162959.08
1578873600000.0,26102780.3
1578886500000.0,83259112.84
1578901200000.0,14090129.17
1578916800000.0,56077420.07
1578930900000.0,-10222256.87
1578948300000.0,53901014.65
1578961800000.0,-8996015.43
1578963300000.0,58388676.79
1578964800000.0,45544327.11
1578966600000.0,82157754.75
1578971100000.0,89843516.89
1578974700000.0,14190457.08
1578978600000.0,68651130.85
1578985800000.0,108718495.66
1578995100000.0,12835042.93
1579002000000.0,32755321.33
1579005600000.0,38131931.93
1579008900000.0,88379224.25
1579011600000.0,68200438.09
1579012800000.0,81235284.44
1579015500000.0,129709936.17
1579017900000.0,41347999.99
1579020300000.0,80186924.88
1579021800000.0,26837461.55
1579024200000.0,43274439.47
1579026600000.0,71369605.45
1579029000000.0,40097715.72
1579035900000.0,42959995.0
1579044300000.0,104458987.57
1579046700000.0,61846674.95
1579048800000.0,43632961.38
1579052100000.0,41446008.78
1579058700000.0,26179073.11
1579062300000.0,117683183.22
1579065300000.0,19052317.2
1579071600000.0,48643279.2
1579079100000.0,41189473.1
1579083600000.0,45205058.94
1579088400000.0,115667309.66
1579093200000.0,27862531.34
1579096800000.0,79055133.46
1579098000000.0,46050881.12
1579100700000.0,107180721.75
1579103400000.0,77333767.33
1579105200000.0,82570145.79
1579110300000.0,117985010.81
1579116300000.0,136708619.67
1579122300000.0,34333546.02
1579129800000.0,104899119.18
1579134300000.0,91507985.66
1579137900000.0,48333960.83
1579141800000.0,96250315.77
1579147500000.0,-10338371.66
1579155600000.0,41997760.66
1579163100000.0,89128349.02
1579169400000.0,-22944748.19
1579175100000.0,33757384.98
1579178700000.0,-1135310.9
1579182900000.0,33541712.71
1579189200000.0,73359216.7
1579194300000.0,-10179595.24
1579202100000.0,114046913.05
1579209900000.0,41205731.9
1579221300000.0,74726919.91
1579229700000.0,115297761.07
1579233900000.0,115198725.81
1579240200000.0,70075101.56
1579242000000.0,74497344.89
1579244700000.0,25672121.35
1579248900000.0,46639834.91
1579253400000.0,8296988.55
1579256700000.0,84497226.43
1579261800000.0,17673307.78
1579264200000.0,-4405303.83
1579270200000.0,76689884.44
1579275300000.0,29656271.84
1579280100000.0,85964143.18
1579286400000.0,69666904.93
1579290900000.0,51448688.2
1579298700000.0,38076401.96
