timestamp,btc_long_liquidations_usd
1577750400000.0,72882436.41
1577763600000.0,70054921.2
1577787300000.0,80405909.16
1577803800000.0,415602498.62
1577806200000.0,275910720.23
1577814900000.0,72292780.63
1577830800000.0,72768659.3
1577849100000.0,33010408.36
1577877900000.0,72428230.33
1577894400000.0,141723150.63
1577919300000.0,313123133.78
1577936700000.0,144449539.01
1577949900000.0,71666335.69
1577960400000.0,181424031.0
1577973600000.0,406458888.22
1577983800000.0,484207967.45
1577985300000.0,72322605.05
1577993400000.0,110946514.17
1578011700000.0,113527196.52
1578018300000.0,71608315.98
1578025800000.0,102665200.53
1578027000000.0,15350594.58
1578031500000.0,75515844.05
1578040800000.0,74276104.54
1578042900000.0,77885987.68
1578047100000.0,74210699.5
1578054300000.0,360326506.07
1578060600000.0,76577569.04
1578067500000.0,78129904.26
1578070200000.0,97672896.0
1578077700000.0,159160777.35
1578085800000.0,75750026.1
1578094500000.0,73246934.73
1578112200000.0,74761711.06
1578127200000.0,156622055.69
1578141300000.0,111824375.61
1578156300000.0,1024095.57
1578163800000.0,74038548.92
1578169500000.0,73750459.27
1578185100000.0,77898985.41
1578188100000.0,75206184.47
1578195600000.0,16930148.6
1578208500000.0,130445770.25
1578218400000.0,75846265.2
1578231600000.0,74844034.63
1578244200000.0,355980690.28
1578260100000.0,157873989.29
1578267300000.0,79259398.83
1578276300000.0,77506361.13
1578279300000.0,78174738.71
1578282000000.0,47521474.3
1578291900000.0,77642713.07
1578305700000.0,76029996.69
1578315300000.0,164764027.7
1578319500000.0,76169440.7
1578327900000.0,76127489.4
1578344400000.0,77430738.22
1578349500000.0,78517044.94
1578351000000.0,3226070.09
1578353400000.0,79585525.85
1578355800000.0,109690731.2
1578357300000.0,516231921.46
1578358800000.0,80645061.55
1578363600000.0,224008953.99
1578371700000.0,81046662.63
1578380700000.0,72174925.92
1578391800000.0,90356403.62
1578398400000.0,313602041.0
1578402300000.0,79808805.22
1578408600000.0,533042736.66
1578412500000.0,84911361.08
1578414600000.0,84359342.76
1578417300000.0,79588502.78
1578421200000.0,92814648.2
1578422400000.0,14573392.32
1578424800000.0,82264075.18
1578429300000.0,83247058.29
1578431700000.0,541405641.29
1578434100000.0,84666742.05
1578437100000.0,93236963.09
1578441000000.0,125723630.89
1578442500000.0,94122906.0
1578444300000.0,101896659.26
1578445500000.0,85652411.93
1578447900000.0,88795937.21
1578450900000.0,571907804.01
1578453900000.0,83741828.78
1578459000000.0,84503989.24
1578465900000.0,107889975.17
1578472500000.0,85751408.13
1578479400000.0,188965598.94
1578488100000.0,107698243.86
1578490500000.0,887346830.25
1578492900000.0,86054821.88
1578496200000.0,9476798.81
1578499500000.0,319511849.47
1578501300000.0,910261492.09
1578501900000.0,82107098.26
1578503400000.0,17988081.1
1578505500000.0,208410517.84
1578511800000.0,627147987.15
1578514200000.0,87303173.91
1578516600000.0,82238544.41
1578521100000.0,81671220.4
1578527700000.0,428057165.49
1578531600000.0,80017840.39
1578541200000.0,270286201.58
1578550500000.0,80105095.38
1578558000000.0,295691425.33
1578563700000.0,59109770.4
1578569400000.0,87780288.73
1578576000000.0,107570990.23
1578584700000.0,429072918.45
1578588900000.0,122293095.39
1578593700000.0,85468578.49
1578600000000.0,670264317.17
1578603300000.0,81040733.5
1578605700000.0,79614013.95
1578613200000.0,56948346.64
1578624900000.0,345798437.82
1578636000000.0,79572296.02
1578643200000.0,111618076.39
1578648900000.0,78126779.66
1578653400000.0,80041636.14
1578656400000.0,86558755.52
1578660600000.0,80193097.47
1578664200000.0,80692058.71
1578667200000.0,88041912.23
1578669600000.0,96811862.77
1578672300000.0,518369023.17
1578673800000.0,301457084.72
1578676500000.0,81854666.85
1578679800000.0,82604844.85
1578682200000.0,274564810.72
1578684600000.0,83656071.2
1578689700000.0,105846881.03
1578693600000.0,83050852.22
1578700200000.0,83656999.39
1578704400000.0,84032442.69
1578708900000.0,271141465.64
1578716700000.0,187772014.66
1578724200000.0,217805141.11
1578730200000.0,81880524.6
1578738600000.0,145527958.04
1578745500000.0,83030469.02
1578753900000.0,81454183.07
1578760500000.0,82246488.91
1578765900000.0,84012106.85
1578778800000.0,559416825.51
1578780000000.0,237193338.67
1578784500000.0,163926442.01
1578789300000.0,81198665.22
1578800100000.0,81340796.14
1578814500000.0,82362837.48
1578825300000.0,86288337.64
1578838200000.0,276671245.28
1578848700000.0,84495917.9
1578850500000.0,81923888.23
1578860700000.0,81891939.55
1578873600000.0,424354995.41
1578886500000.0,145349087.75
1578901200000.0,84161833.37
1578916800000.0,80978941.63
1578930900000.0,90543518.46
1578948300000.0,84081601.02
1578961800000.0,90844807.33
1578963300000.0,85288247.61
1578964800000.0,95431781.9
1578966600000.0,122376147.26
1578971100000.0,99675119.87
1578974700000.0,61161235.1
1578978600000.0,86138316.55
1578985800000.0,87789484.26
1578995100000.0,54279484.79
1579002000000.0,164740400.32
1579005600000.0,86357514.37
1579008900000.0,100827851.73
1579011600000.0,88911275.44
1579012800000.0,88575182.98
1579015500000.0,915948726.68
1579017900000.0,86826489.02
1579020300000.0,95228758.43
1579021800000.0,106264435.05
1579024200000.0,89249822.49
1579026600000.0,278618349.41
1579029000000.0,349558156.47
1579035900000.0,100824400.65
1579044300000.0,294555713.0
1579046700000.0,103224606.73
1579048800000.0,286503795.04
1579052100000.0,179492054.74
1579058700000.0,659605592.57
1579062300000.0,104404579.02
1579065300000.0,88478933.94
1579071600000.0,114601821.98
1579079100000.0,88300050.4
1579083600000.0,88782969.32
1579088400000.0,18291567.9
1579093200000.0,109708834.81
1579096800000.0,403194324.27
1579098000000.0,91737570.81
1579100700000.0,237153370.65
1579103400000.0,91181637.76
1579105200000.0,39783982.07
1579110300000.0,76479651.99
1579116300000.0,88796934.89
1579122300000.0,94456298.53
1579129800000.0,460461618.05
1579134300000.0,539173538.29
1579137900000.0,90548681.12
1579141800000.0,174618462.86
1579147500000.0,89403491.63
1579155600000.0,88623611.74
1579163100000.0,407779844.63
1579169400000.0,89338254.57
1579175100000.0,91329606.76
1579178700000.0,272491836.57
1579182900000.0,89454039.71
1579189200000.0,171076678.55
1579194300000.0,87404749.17
1579202100000.0,92285107.59
