timestamp,bb_lower
1577750400000.0,0.0
1577763600000.0,0.0
1577787300000.0,0.0
1577803800000.0,0.0
1577806200000.0,0.0
1577814900000.0,0.0
1577830800000.0,0.0
1577849100000.0,0.0
1577877900000.0,0.0
1577894400000.0,0.0
1577919300000.0,0.0
1577936700000.0,0.0
1577949900000.0,0.0
1577960400000.0,0.0
1577973600000.0,0.0
1577983800000.0,0.0
1577985300000.0,0.0
1577993400000.0,0.0
1578011700000.0,0.0
1578018300000.0,6910.8303
1578025800000.0,6911.8756
1578027000000.0,6912.4446
1578031500000.0,6918.2018
1578040800000.0,6910.8564
1578042900000.0,6902.8608
1578047100000.0,6894.4915
1578054300000.0,6893.1407
1578060600000.0,6890.4876
1578067500000.0,6882.3901
1578070200000.0,6877.7806
1578077700000.0,6879.3157
1578085800000.0,6884.1535
1578094500000.0,6886.2585
1578112200000.0,6891.3753
1578127200000.0,6907.537
1578141300000.0,6944.2147
1578156300000.0,6986.6127
1578163800000.0,7044.1387
1578169500000.0,7128.2296
1578185100000.0,7196.6178
1578188100000.0,7205.1609
1578195600000.0,7220.9955
1578208500000.0,7235.2157
1578218400000.0,7236.5627
1578231600000.0,7236.1835
1578244200000.0,7238.3366
1578260100000.0,7250.7023
1578267300000.0,7255.3457
1578276300000.0,7248.2301
1578279300000.0,7245.2163
1578282000000.0,7251.008
1578291900000.0,7255.5312
1578305700000.0,7262.0466
1578315300000.0,7269.5963
1578319500000.0,7283.9146
1578327900000.0,7306.502
1578344400000.0,7319.4446
1578349500000.0,7313.9919
1578351000000.0,7313.0541
1578353400000.0,7289.9478
1578355800000.0,7250.6006
1578357300000.0,7243.6765
1578358800000.0,7244.4191
1578363600000.0,7256.2336
1578371700000.0,7269.9663
1578380700000.0,7302.0125
1578391800000.0,7347.4496
1578398400000.0,7376.579
1578402300000.0,7401.8982
1578408600000.0,7429.2072
1578412500000.0,7462.1305
1578414600000.0,7494.0467
1578417300000.0,7526.835
1578421200000.0,7563.1747
1578422400000.0,7607.1229
1578424800000.0,7658.2708
1578429300000.0,7681.7023
1578431700000.0,7705.8075
1578434100000.0,7734.6073
1578437100000.0,7734.7754
1578441000000.0,7716.6165
1578442500000.0,7696.3378
1578444300000.0,7681.3602
1578445500000.0,7677.2712
1578447900000.0,7681.9142
1578450900000.0,7702.799
1578453900000.0,7720.7486
1578459000000.0,7755.0748
1578465900000.0,7790.5025
1578472500000.0,7860.2101
1578479400000.0,7908.9937
1578488100000.0,7958.6244
1578490500000.0,8006.4024
1578492900000.0,8028.9204
1578496200000.0,8054.8485
1578499500000.0,8073.6516
1578501300000.0,8057.0959
1578501900000.0,8070.3212
1578503400000.0,8080.8937
1578505500000.0,8053.7689
1578511800000.0,7988.3165
1578514200000.0,7951.9131
1578516600000.0,7924.0461
1578521100000.0,7908.6093
1578527700000.0,7880.5436
1578531600000.0,7855.3553
1578541200000.0,7826.6907
1578550500000.0,7808.5975
1578558000000.0,7783.1249
1578563700000.0,7764.0644
1578569400000.0,7756.8126
1578576000000.0,7766.3877
1578584700000.0,7751.567
1578588900000.0,7744.3255
1578593700000.0,7767.8412
1578600000000.0,7775.9411
1578603300000.0,7763.4781
1578605700000.0,7758.5537
1578613200000.0,7756.2497
1578624900000.0,7738.4293
1578636000000.0,7717.6887
1578643200000.0,7698.3344
1578648900000.0,7691.6491
1578653400000.0,7703.1437
1578656400000.0,7707.2144
1578660600000.0,7713.7197
1578664200000.0,7709.6653
1578667200000.0,7694.6672
1578669600000.0,7666.7881
1578672300000.0,7662.5688
1578673800000.0,7661.9545
1578676500000.0,7655.6194
1578679800000.0,7653.5998
1578682200000.0,7661.367
1578684600000.0,7657.0189
1578689700000.0,7664.4477
1578693600000.0,7664.9698
1578700200000.0,7668.5005
1578704400000.0,7677.6719
1578708900000.0,7709.1325
1578716700000.0,7747.0823
1578724200000.0,7798.6288
1578730200000.0,7849.5886
1578738600000.0,7890.1646
1578745500000.0,7920.766
1578753900000.0,7951.3781
1578760500000.0,7969.3116
1578765900000.0,7967.5853
1578778800000.0,7967.3624
1578780000000.0,7974.0073
1578784500000.0,7991.0139
1578789300000.0,7996.4251
1578800100000.0,7998.5532
1578814500000.0,8009.8253
1578825300000.0,8012.8426
1578838200000.0,8019.0563
1578848700000.0,8019.4845
1578850500000.0,8021.3316
1578860700000.0,8021.5977
1578873600000.0,8020.4834
1578886500000.0,8017.7502
1578901200000.0,8021.0015
1578916800000.0,8020.5745
1578930900000.0,8027.0224
1578948300000.0,8029.9505
1578961800000.0,8009.3053
1578963300000.0,7981.1735
1578964800000.0,7946.1084
1578966600000.0,7931.2244
1578971100000.0,7905.5783
1578974700000.0,7902.1993
1578978600000.0,7898.9613
1578985800000.0,7900.527
1578995100000.0,7905.4853
1579002000000.0,7913.0021
1579005600000.0,7929.9106
1579008900000.0,7937.8042
1579011600000.0,7948.7057
1579012800000.0,7959.2034
1579015500000.0,7998.2915
1579017900000.0,8048.6017
1579020300000.0,8101.4743
1579021800000.0,8158.6576
1579024200000.0,8212.2259
1579026600000.0,8286.4035
1579029000000.0,8336.2186
1579035900000.0,8369.0193
1579044300000.0,8395.3163
1579046700000.0,8424.4245
1579048800000.0,8436.4741
1579052100000.0,8455.0597
1579058700000.0,8471.102
1579062300000.0,8483.0051
1579065300000.0,8504.5406
1579071600000.0,8533.8141
1579079100000.0,8562.6383
1579083600000.0,8568.3466
1579088400000.0,8573.146
1579093200000.0,8567.0836
1579096800000.0,8596.5324
1579098000000.0,8613.6419
1579100700000.0,8618.1937
1579103400000.0,8618.1896
1579105200000.0,8618.4914
1579110300000.0,8619.0356
1579116300000.0,8626.4929
1579122300000.0,8625.0973
1579129800000.0,8625.9306
1579134300000.0,8614.4694
1579137900000.0,8603.2637
1579141800000.0,8587.5899
1579147500000.0,8598.0721
1579155600000.0,8615.046
1579163100000.0,8604.6294
1579169400000.0,8611.2634
1579175100000.0,8611.4125
1579178700000.0,8604.5559
1579182900000.0,8598.7597
1579189200000.0,8598.6053
1579194300000.0,8596.8474
1579202100000.0,8596.7389
1579209900000.0,8595.7264
1579221300000.0,8597.3411
1579229700000.0,8595.8703
1579233900000.0,8585.6033
1579240200000.0,8563.9002
1579242000000.0,8559.0533
1579244700000.0,8537.0387
